done,id,group,url,lang,cat,title,file_rtf,file_pdf,file_media,place,date,orig_desc,orig_date
1,1677,1677,/es/conferencias/vision-actual-del-humanismo/,es,conferen,Conferencia Visión Actual del Humanismo,visachum.rtf,visachum.pdf,"visachum.mp3,visachum.avi","Madrid, España",16/04/1993,"Madrid, España 16/04/93",16/04/1993
1,1783,1783,/es/books/el-mensaje-de-silo/,es,libros,El Mensaje,mensaje.rtf,mensaje.pdf,mensaje.htm,,,,
1,2124,,/it/discorsi/1969-la-guarigione-della-sofferenza/,it,conferen,La guarigione dalla sofferenza,4maggi69.rtf,4maggi69.pdf,4maggi69.avi,"Punta de Vacas, Argentina",04/05/1969,"Punta de Vacas, Argentina 04/05/69",04/05/69
1,2176,1677,/it/conferenze/visione-attuale-umanesimo/,it,conferen,Conferenza: Visione attuale dell'Umanesimo,viattuma.rtf,viattuma.pdf,,"Madrid, Spagna",16/04/1993,"Madrid, Spagna 16/04/93",16/04/93
1,2187,,/it/discorsi/1999-trentesimo-anniversario/,it,conferen,Commemorazione del trentesimo anniversario del Movimento Umanista,4maggi99.rtf,4maggi99.pdf,4maggi99.avi,"Punta de Vacas, Argentina",04/05/1999,"Punta de Vacas, Argentina 04/05/99",04/05/99
1,2189,,/it/discorsi/2004-prima-celebrazione-messaggio-di-silo/,it,conferen,"Il Messaggio di Silo, Prima celebrazione annuale",4maggi04.rtf,4maggi04.pdf,"4maggi04.avi,4maggi_4.avi,4magg_04.avi","Punta de Vacas, Argentina",04/05/2004,"Punta de Vacas, Argentina 04/05/04",04/05/04
1,2190,,/it/discorsi/2005-inaugurazione-sala-sudamericana/,it,conferen,"Il Messaggio di Silo, inaugurazione della Sala Sudamericana",7maggi05.rtf,7maggi05.pdf,"7maggi05.avi,7magg_05.avi","La Reja, Buenos Aires, Argentina",07/05/2005,"La Reja, Buenos Aires, Argentina 07/05/05",07/05/05
1,2191,,/it/discorsi/2006-inaugurazione-parco-los-manantiales/,it,conferen,"Il Messaggio di Silo, inaugurazione Parco Los Manantiales",6maggi06.rtf,6maggi06.pdf,6maggi06.avi,"Manantiales, Cile",06/05/2006,"Manantiales, Cile 06/05/06",06/05/06
1,2194,,/it/discorsi/2007-giornate-di-esperienze/,it,conferen,Giornate di ispirazione in Punta de Vacas,pdv0705i.rtf,pdv0705i.pdf,"pdv0705i.avi,pdv_705i.avi",Argentina,05/05/2007,Argentina 05/05/07,05/05/07
1,2209,,/it/libri/umanizzare-la-terra/,it,libri,Umanizare la Terra,umanizza.rtf,umanizza.pdf,umanizza.htm,,,,
1,2213,,/it/libri/il-giorno-del-leone-alato/,it,libri,Il Giorno del Leone Alato,leonalat.rtf,leonalat.pdf,"leonalat.htm,leonaudi.htm",,,,
1,2227,1783,/it/libri/il-messaggio-di-silo/,it,libri,"Il Messaggio - Seconda ricopilazione, 2007 ",ilmessag.rtf,ilmessag.pdf,ilmessag.htm,,2007,,2007
1,2515,,/en/books/humanize-the-earth/,en,books,Humanize the Earth,humanize.rtf,humanize.pdf,humanize.htm,,,,
1,2533,1783,/en/books/silo-message/,en,books,"The Message - Second edition, 2007 ",silomess.rtf,silomess.pdf,messag01.htm,,,,
1,2933,1783,/fr/livres/le-message-de-silo/,fr,livres,"Le message - Deuxième recueil, 2007 ",lemessag.rtf,lemessag.pdf,lemessag.htm,,2007,,2007
1,1921,,/it/appunti/2000-01-02-insogno-e-azione,it,appunti,Insogno ed azione - Vanità - Percezione - Esperienza trascendentale e momento storico,a000102i.rtf,a000102i.pdf,,"Buenos Aires, Argentina",,"Buenos Aires, Argentina 02/01/00",02/01/2000
